1:1	0	بِسۡمِ	bism
1:1	1	ٱللَّهِ	ʔalːaːh
1:1	2	ٱلرَّحۡمَـٰنِ	ʔarːaħmaːn
1:1	3	ٱلرَّحِيمِ	ʔarːaħiːm
1:2	0	ٱلۡحَمۡدُ	ʔalħamdᵊ
1:2	1	لِلَّهِ	lilːaːh
1:2	2	رَبِّ	rabːᵊ
1:2	3	ٱلۡعَـٰلَمِينَ	ʔalʕaːlamiːn
1:3	0	ٱلرَّحۡمَـٰنِ	ʔarːaħmaːn
1:3	1	ٱلرَّحِيمِ	ʔarːaħiːm
1:4	0	مَـٰلِكِ	maːlik
1:4	1	يَوۡمِ	jawm
1:4	2	ٱلدِّينِ	ʔadːiːn
1:5	0	إِيَّاكَ	ʔijːaːk
1:5	1	نَعۡبُدُ	naʕbudᵊ
1:5	2	وَإِيَّاكَ	waʔijːaːk
1:5	3	نَسۡتَعِينُ	nastaʕiːn
1:6	0	ٱهۡدِنَا	ʔihdinaː
1:6	1	ٱلصِّرٰطَ	ʔasˤːiraːtˤᵊ
1:6	2	ٱلۡمُسۡتَقِيمَ	ʔalmustaqiːm
1:7	0	صِرٰطَ	sˤiraːtˤᵊ
1:7	1	ٱلَّذِينَ	ʔalːaðiːn
1:7	2	أَنۡعَمۡتَ	ʔanʕamt
1:7	3	عَلَيۡهِمۡ	ʕalajhim
1:7	4	غَيۡرِ	ɣajr
1:7	5	ٱلۡمَغۡضُوبِ	ʔalmaɣdˤuːbᵊ
1:7	6	عَلَيۡهِمۡ	ʕalajhim
1:7	7	وَلَا	walaː
1:7	8	ٱلضَّآلِّينَ	ʔadˤːaːːːlːiːn
2:1	0	الٓمٓ	ʔalif laːːːm miːːːm
2:2	0	ذٰلِكَ	ðaːlik
2:2	1	ٱلۡكِتَـٰبُ	ʔalkitaːbᵊ
2:2	2	لَا	laː
2:2	3	رَيۡبَ	rajbᵊ
2:2	4	فِيهِ	fiːh
2:2	5	هُدًى	hudaː
2:2	6	لِّلۡمُتَّقِينَ	lilmutːaqiːn
2:3	0	ٱلَّذِينَ	ʔalːaðiːn
2:3	1	يُؤۡمِنُونَ	juʔminuːn
2:3	2	بِٱلۡغَيۡبِ	bilɣajbᵊ
2:3	3	وَيُقِيمُونَ	wajuqiːmuːn
2:3	4	ٱلصَّلَوٰةَ	ʔasˤːalaːh
2:3	5	وَمِمَّا	wamimː̃aː
2:3	6	رَزَقۡنَـٰهُمۡ	razaqᵊnaːhum
2:3	7	يُنفِقُونَ	juⁿfiquːn
2:4	0	وَٱلَّذِينَ	walːaðiːn
2:4	1	يُؤۡمِنُونَ	juʔminuːn
2:4	2	بِمَآ	bimaː
2:4	3	أُنزِلَ	ʔuⁿzil
2:4	4	إِلَيۡكَ	ʔilajk
2:4	5	وَمَآ	wamaː
2:4	6	أُنزِلَ	ʔuⁿzil
2:4	7	مِن	min
2:4	8	قَبۡلِكَ	qabᵊlik
2:4	9	وَبِٱلۡأَخِرَةِ	wabilʔaxirah
2:4	10	هُمۡ	hum
2:4	11	يُوقِنُونَ	juːqinuːn
